href,dirname
http://iatistandard.org/202/codelists/BudgetStatus/,IATI-Standard-SSOT-version-2.02/docs/en/_build/dirhtml/activity-standard/overview/budgets
http://reference.iatistandard.org/202/upgrades/,IATI-Standard-SSOT-version-2.02/docs/en/_build/dirhtml/codelists-guides/codelist-management
http://wiki.iatistandard.org/standard/documentation/1.0/iati-activities,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities
http://iatistandard.org/101/activity-standard/container-elements/file-header/,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities
http://iatistandard.org/codelists/currency,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity
http://wiki.iatistandard.org/standard/documentation/1.0/iati-activity,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity
http://iatistandard.org/101/activity-standard/container-elements/record-header/,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity
http://iatistandard.org/codelists/related_activity_type,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/related-activity
http://iatistandard.org/org-ref,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/other-identifier
http://iatistandard.org/codelists/crs-repayment-type,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/crs-add/loan-terms/repayment-type
http://iatistandard.org/codelists/repayment-nopa,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/crs-add/loan-terms/repayment-plan
http://iatistandard.org/codelists/country,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/recipient-country
http://iatistandard.org/codelists/flow_type,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/transaction/flow-type
http://iatistandard.org/codelists/transaction_type,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/transaction/transaction-type
http://iatistandard.org/codelists/tied_status,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/transaction/tied-status
http://iatistandard.org/codelists/finance_type,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/transaction/finance-type
http://iatistandard.org/codelists/aid_type,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/transaction/aid-type
http://iatistandard.org/codelists/region,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/recipient-region
http://iatistandard.org/codelists/gazetteer_agency,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/location/gazetteer-entry
http://iatistandard.org/codelists/location_type,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/location/location-type
http://iatistandard.org/codelists/geographical_precision,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/location/coordinates
http://iatistandard.org/codelists/admin1,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/location/administrative
http://iatistandard.org/codelists/admin2,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/location/administrative
http://iatistandard.org/codelists/activity_date_type,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/activity-date
http://iatistandard.org/codelists/organisation-type,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/participating-org
http://iatistandard.org/codelists/organisation_role,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/participating-org
http://iatistandard.org/codelists/policy_marker,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/policy-marker
http://iatistandard.org/codelists/vocabulary,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/policy-marker
http://iatistandard.org/codelists/policy_significance,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/policy-marker
http://iatistandard.org/codelists/activity_status,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/activity-status
http://iatistandard.org/codelists/sector,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/sector
http://iatistandard.org/codelists/collaboration_type,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/collaboration-type
http://iatistandard.org/codelists/file_format,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/document-link
http://iatistandard.org/codelists/document_category,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/activity-standard/iati-activities/iati-activity/document-link/category
http://iatistandard.org/codelists/transaction_type/,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/codelists-guides/codelist-management
http://dev.iatistandard.org/upgrades/,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/codelists-guides/codelist-management
http://support.iatistandard.org/forums/23076626-Non-embedded-Codelist-Amendments,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/codelists-guides/codelist-management
http://discuss.iatistandard.org/c/iati-standard,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/codelists-guides/codelist-management
http://iatistandard.org/upgrades/nonembedded-codelist-changelog,IATI-Standard-SSOT-version-1.05/docs/en/_build/dirhtml/codelists-guides/codelist-management
Http://iatistandard.org/codelists/downloads/clv2/,IATI-Standard-SSOT-version-1.04/docs/en/_build/dirhtml/codelists-guides/codelist-api
http://iatistandard.org/103/activity-docs/,IATI-Standard-SSOT-version-1.03/103.new/activity-schema-table
http://wiki.iatistandard.org/standard/revision/1.02/changes_specification?s[]=1&s[]=02,IATI-Standard-SSOT-version-1.03/103.new/changelog
http://support.iatistandard.org,IATI-Standard-SSOT-version-1.03/103.new/community-support
http://wiki.iatistandard.org/community/mailing_list,IATI-Standard-SSOT-version-1.03/103.new/community-support
http://support.iatistandard.org/,IATI-Standard-SSOT-version-1.03/103.new/getting-started/preparing-data/using-codelists
http://support.iatistandard.org/entries/20603957-generating-a-unique-organisation-identifier,IATI-Standard-SSOT-version-1.03/103.new/getting-started/preparing-data/using-codelists
http://iatistandard.org/103/activities-standard/geopolitical-information/sub-national-geo-location,IATI-Standard-SSOT-version-1.03/103.new/getting-started/preparing-data/optional-data
http://iatistandard.org/103/activities-standard/performance/results,IATI-Standard-SSOT-version-1.03/103.new/getting-started/preparing-data/optional-data
http://support.iatistandard.org/attachments/token/8t5oqsnhvclfbyj/?name=Bond_Guidance_for_NGOs_-_Developing_an_Open_Information_Policy.pdf,IATI-Standard-SSOT-version-1.03/103.new/getting-started/policy-considerations/exclusions-and-thresholds
http://csv2iati.iatistandard.org/,IATI-Standard-SSOT-version-1.03/103.new/getting-started/tools-to-help/tools-to-create-data
http://support.iatistandard.org/forums,IATI-Standard-SSOT-version-1.03/103.new/updates
http://support.iatistandard.org/forums/22743317-1-04-Decimal-Upgrade,IATI-Standard-SSOT-version-1.03/103.new/updates/decimal-upgrade-to-1-04
http://iatistandard.org/103/102/,IATI-Standard-SSOT-version-1.03/103.new/updates/previous-versions
http://iatistandard.org/103/101/,IATI-Standard-SSOT-version-1.03/103.new/updates/previous-versions
http://support.iatistandard.org/forums/21131653-first-decimal-upgrade,IATI-Standard-SSOT-version-1.03/103.new/updates/decimal-upgrade-to-1-02
http://wiki.iatistandard.org/standard/revision/1.02/changes_specification,IATI-Standard-SSOT-version-1.03/103.new/updates/decimal-upgrade-to-1-02
http://wiki.iatistandard.org/,IATI-Standard-SSOT-version-1.03/103.new/updates/decimal-upgrade-to-1-02
